id,nome,cpf,dt_nascimento,nome_responsavel,matricula,dt_matricula,email,tb_curso_id
832,Maria Alice Silveira,20834642040,1996-11-12,Gustavo Santos Novaes,674657,2020-08-28,maria_alice@mail.com,4
833,Marcelo Cunha,56190303874,1995-07-24,Francisco Santos Correia,797825,2019-06-26,marcelo_cunha@mail.com,4
834,Ana Beatriz Cavalcanti,4807901358,2005-01-01,Davi Lucca Vieira Aragão,54027,2019-03-15,ana_beatriz@mail.com,5
835,Daniela Costa,87803639952,2000-01-18,João Costa Novaes,463282,2021-02-13,daniela_costa@mail.com,3
836,Miguel Correia,7346931868,1999-02-22,Maria Sophia Silveira Viana,993286,2021-09-27,miguel_correia@mail.com,1
837,Stephany Cavalcanti,14234537620,1994-03-06,Rafael da Mota Moreira,547805,2019-04-27,stephany_cavalcanti@mail.com,2
838,Cecília da Paz,76699054822,2005-08-09,Julia Campos da Mota,811952,2020-04-06,cecília_da@mail.com,4
839,Lara da Paz,29431589259,1987-09-12,Olivia Monteiro Santos,606064,2021-12-01,lara_da@mail.com,6
840,Stella Ferreira,84418034120,1993-11-15,João Lucas Pereira Farias,899178,2023-10-07,stella_ferreira@mail.com,4
841,Eloah da Paz,3167339238,1993-01-12,Cecília Gomes Porto,403069,2022-04-30,eloah_da@mail.com,3
842,Theo Oliveira,46813711092,1988-05-20,Emanuella Silveira Souza,749164,2020-10-17,theo_oliveira@mail.com,1
843,Nicolas da Cruz,98345029294,2005-07-01,Gustavo Henrique Jesus Melo,71157,2020-06-12,nicolas_da@mail.com,1
844,Bruno Vieira,81545409901,1985-09-07,Maria Luiza Costa Silveira,501892,2019-05-28,bruno_vieira@mail.com,4
845,Cecília da Rocha,70292536731,1986-08-06,Cecília Teixeira Correia,552221,2022-12-07,cecília_da@mail.com,2
846,Maria Sophia Rocha,54393593290,2001-01-16,Mirella da Rosa da Rosa,759271,2021-06-28,maria_sophia@mail.com,2
847,Rafael Duarte,93062159329,1983-11-10,Isabel Costa Rodrigues,916708,2020-10-15,rafael_duarte@mail.com,5
848,Alexandre Alves,8854003810,1990-12-12,Heitor da Paz Costela,797345,2021-12-23,alexandre_alves@mail.com,3
849,Maria Clara Carvalho,71989205584,1993-06-23,Gabrielly Silveira da Cruz,245991,2022-08-05,maria_clara@mail.com,4
850,Enzo Gabriel Sales,99417815365,1988-09-01,Luna das Neves da Mata,835976,2021-01-03,enzo_gabriel@mail.com,2
851,Heitor Carvalho,9735127192,1983-10-25,Mariane Ramos Lopes,157198,2023-04-27,heitor_carvalho@mail.com,4
852,Stella Silva,60870790048,1996-08-26,Paulo Carvalho da Rocha,695202,2021-01-01,stella_silva@mail.com,5
853,Davi Lucas Castro,34550900610,2002-06-20,Emanuelly Ribeiro Barros,926191,2021-11-13,davi_lucas@mail.com,6
854,Luiz Gustavo Dias,28383416062,1999-09-02,Vinicius Lopes Gomes,861790,2020-04-18,luiz_gustavo@mail.com,2
855,Ana Vitória Gonçalves,71677492457,1989-08-28,Miguel Araújo Melo,139567,2022-06-13,ana_vitória@mail.com,1
856,Luiz Miguel Rezende,23232558362,1986-01-28,Maria Sophia Jesus Rodrigues,391193,2023-06-25,luiz_miguel@mail.com,3
857,Caio Castro,4041950526,2000-10-08,Pedro Moraes da Mota,697712,2019-05-22,caio_castro@mail.com,5
858,João Felipe Barbosa,35696179813,1984-09-15,João Guilherme Gonçalves Correia,60848,2022-06-27,joão_felipe@mail.com,4
859,Nathan Moreira,49652224495,1993-04-26,João Peixoto Barbosa,627246,2021-03-28,nathan_moreira@mail.com,3
860,Maria Fernanda Lopes,43455253214,1998-05-16,Bárbara Azevedo da Cruz,738885,2023-07-27,maria_fernanda@mail.com,4
861,Ana Clara Correia,79311949616,1997-12-26,Mirella Jesus Costa,109293,2022-09-04,ana_clara@mail.com,6
862,Diogo Barbosa,98080326825,2001-08-19,Matheus Cavalcanti Alves,825008,2019-03-17,diogo_barbosa@mail.com,2
863,Anthony Cunha,77679187540,1999-11-08,Maria Sophia Ribeiro Castro,386177,2022-08-02,anthony_cunha@mail.com,5
864,Maria Alice da Cunha,64125033621,2005-08-13,Brenda Vieira Ramos,755167,2022-10-05,maria_alice@mail.com,6
865,Rafael Moraes,13263554618,1984-09-16,Eduarda Peixoto Sales,862388,2020-06-28,rafael_moraes@mail.com,6
866,Ana Laura Fogaça,12532762209,2002-10-05,Raquel Moraes da Rocha,378293,2023-08-26,ana_laura@mail.com,2
867,Nicole Carvalho,99568083489,1987-11-19,Maria Sophia Nascimento Alves,474330,2020-10-28,nicole_carvalho@mail.com,6
868,Vinicius Mendes,21845997473,2000-05-29,Alexandre Freitas Lopes,240553,2021-01-24,vinicius_mendes@mail.com,4
869,João Guilherme Correia,78673068986,2004-07-19,Raquel Jesus Mendes,166484,2021-07-23,joão_guilherme@mail.com,2
870,Alana Nunes,25814637665,1996-12-19,Cecília Gomes Cunha,186371,2023-07-07,alana_nunes@mail.com,1
871,Ana Vitória Fogaça,49984595812,1988-08-04,Cecília Moura Dias,987269,2023-03-07,ana_vitória@mail.com,5
872,Vitor Rocha,10567118925,1988-01-02,Bianca da Rosa Ramos,152549,2020-08-10,vitor_rocha@mail.com,4
873,Ana Beatriz da Cunha,34115944567,1986-07-07,Kaique da Cunha Novaes,193196,2023-08-17,ana_beatriz@mail.com,5
874,Enzo Gabriel Costela,88823748767,1998-07-13,Maria Sophia Monteiro da Paz,254264,2021-07-28,enzo_gabriel@mail.com,6
875,Maria Caldeira,29483171989,2000-03-21,Ana Sophia da Conceição Fernandes,736801,2020-06-01,maria_caldeira@mail.com,2
876,Ian Cavalcanti,20350029521,1987-06-21,Pedro Henrique Freitas Ribeiro,141479,2021-08-11,ian_cavalcanti@mail.com,6
877,Amanda Rocha,5628499089,1988-10-07,Mirella Costa da Cruz,421336,2020-12-03,amanda_rocha@mail.com,1
878,Isabel Pires,96118406521,1991-10-11,Ian Nascimento Lopes,927220,2022-03-18,isabel_pires@mail.com,2
879,João Guilherme Nascimento,22707820904,1985-02-27,Danilo Gonçalves Duarte,38763,2021-06-23,joão_guilherme@mail.com,5
880,Stella Moraes,18378007859,1992-10-18,Amanda da Cruz Barbosa,94478,2022-05-20,stella_moraes@mail.com,1
881,Larissa Araújo,45376501095,1997-01-10,Cauã Castro da Conceição,475488,2020-01-15,larissa_araújo@mail.com,3
882,Maria Luiza Costela,31842813542,1995-06-11,Ryan Silva Moura,945629,2023-07-01,maria_luiza@mail.com,5
883,Camila Rodrigues,29357283739,2001-01-14,Lucas Lima Barros,376341,2019-04-29,camila_rodrigues@mail.com,3
884,Enzo Gabriel Oliveira,22330499825,1991-06-18,Gabriel Rodrigues Aragão,300050,2021-10-05,enzo_gabriel@mail.com,6
885,Ana Laura Barbosa,42860673554,1997-04-15,Daniela Moraes Duarte,150905,2021-10-08,ana_laura@mail.com,6
886,Cauê Ferreira,95603197848,1996-03-08,Clarice Ribeiro Aragão,412426,2019-06-22,cauê_ferreira@mail.com,3
887,Manuela Lopes,36247798784,2004-04-26,Ana Júlia Ferreira Azevedo,653413,2022-09-26,manuela_lopes@mail.com,6
888,Antônio Souza,64821416200,2004-07-02,Davi Lucas da Rocha Sales,762811,2022-10-02,antônio_souza@mail.com,2
889,Sofia das Neves,78834782293,2002-02-15,Luiz Otávio Vieira Novaes,743766,2021-04-10,sofia_das@mail.com,2
890,Maria Clara Mendes,48806347049,1983-11-07,Cecília Costela Pereira,556636,2019-05-07,maria_clara@mail.com,2
891,Elisa Silveira,89216652143,2005-04-14,Leonardo Rodrigues Nascimento,545898,2022-03-10,elisa_silveira@mail.com,2
892,Maria Sophia Castro,62375993598,1987-01-15,Lara Costela Ferreira,817208,2021-12-28,maria_sophia@mail.com,3
893,Ana Julia Farias,89462021603,1997-08-07,Agatha Campos Almeida,216067,2022-08-31,ana_julia@mail.com,1
894,Camila Monteiro,5027150310,1997-11-24,Rafael Farias Correia,175207,2021-11-05,camila_monteiro@mail.com,4
895,Maria Alice Nogueira,54053121136,1995-12-14,Fernanda Aragão Gonçalves,63292,2021-11-05,maria_alice@mail.com,6
896,Heitor Barros,73683188581,2002-05-06,Maria Cecília Jesus Rodrigues,958138,2019-07-19,heitor_barros@mail.com,3
897,Anthony da Cruz,28212400252,1987-03-27,Lara Gomes Araújo,948228,2022-01-23,anthony_da@mail.com,1
898,Clarice Ribeiro,98757428474,1991-06-01,Pietro Azevedo Martins,643825,2022-04-15,clarice_ribeiro@mail.com,5
899,Catarina da Cunha,49108026422,1998-02-16,Stephany Cavalcanti Melo,602419,2020-05-05,catarina_da@mail.com,3
900,Davi Lucas Rodrigues,27009713607,1997-08-23,Isis Fogaça Alves,865401,2020-10-10,davi_lucas@mail.com,6
901,Pedro Duarte,95958937410,1989-05-05,Alice Caldeira Farias,661716,2023-10-11,pedro_duarte@mail.com,6
902,Rafael Freitas,72879111556,1989-06-16,Rafael Peixoto da Cruz,83903,2020-07-17,rafael_freitas@mail.com,3
903,Caio Santos,9745066541,1988-12-24,Beatriz Alves Nogueira,142654,2019-02-11,caio_santos@mail.com,5
904,Levi Vieira,35264782411,1985-01-30,Davi Lucas Aragão Moreira,285805,2019-03-14,levi_vieira@mail.com,2
905,Luna Nascimento,61066939899,2002-04-03,Bruno Caldeira Castro,156340,2023-07-19,luna_nascimento@mail.com,5
906,Alexia Duarte,5415291970,1996-07-27,Carolina Cavalcanti Moreira,218392,2021-10-27,alexia_duarte@mail.com,4
907,Davi Lucca Ramos,16844515457,1985-11-30,Luigi Pires da Costa,325971,2021-09-03,davi_lucca@mail.com,4
908,Ana Luiza Porto,92414939370,1984-09-16,Giovanna Castro Rezende,579166,2019-11-17,ana_luiza@mail.com,1
909,Davi Sales,24185449028,1988-07-07,Camila Ferreira Almeida,197529,2019-04-12,davi_sales@mail.com,4
910,Ana Lívia Lopes,19220879838,1987-03-11,Giovanna Souza Lima,685866,2023-02-11,ana_lívia@mail.com,2
911,Erick Sales,79316221364,1991-11-09,Bruna Pires Moreira,651080,2021-07-13,erick_sales@mail.com,3
912,Pietra Aragão,48631875866,1984-06-25,Marcela da Rosa Cardoso,679721,2019-01-27,pietra_aragão@mail.com,3
913,Emanuel Nunes,53960978811,1996-02-21,Stephany Costa Moreira,794482,2019-10-02,emanuel_nunes@mail.com,4
914,Alícia Azevedo,80136808956,1984-08-09,Nina Gonçalves Martins,870316,2020-11-14,alícia_azevedo@mail.com,4
915,Giovanna Vieira,8165913507,2003-03-13,Rafaela Campos Peixoto,39440,2019-10-08,giovanna_vieira@mail.com,6
916,Alexandre Carvalho,95873857911,1996-09-25,Noah da Rosa Farias,754016,2019-08-31,alexandre_carvalho@mail.com,3
917,Vitória Jesus,86348655195,1991-10-23,Maria Sophia Souza Costela,438493,2019-11-13,vitória_jesus@mail.com,4
918,Daniela da Rocha,3869868882,2004-04-06,Eloah Teixeira Duarte,82442,2022-11-08,daniela_da@mail.com,2
919,Manuela Ramos,56516403054,2003-04-16,Vitor Rezende Almeida,737847,2023-03-09,manuela_ramos@mail.com,6
920,Rodrigo Moreira,44991912411,1992-08-17,Bruno Ramos Fernandes,541982,2022-03-28,rodrigo_moreira@mail.com,1
921,Calebe das Neves,87345340449,2000-04-08,Emanuel Vieira Vieira,283846,2019-09-24,calebe_das@mail.com,3
922,Ana Vitória Melo,16763170927,2002-07-05,Amanda Vieira Cunha,807406,2019-02-07,ana_vitória@mail.com,6
923,Helena Ribeiro,40192323443,1990-05-19,Sofia Vieira Rodrigues,347932,2020-03-07,helena_ribeiro@mail.com,6
924,Melissa Moreira,60828529367,1993-10-18,Natália Moraes Rodrigues,425207,2021-09-23,melissa_moreira@mail.com,5
925,Melissa Porto,23823230573,2001-10-17,Diogo Viana Viana,729128,2021-06-05,melissa_porto@mail.com,3
926,Enzo Castro,3230009441,2002-05-21,Ana da Mata da Mota,737426,2022-09-28,enzo_castro@mail.com,5
927,Sabrina das Neves,62777871926,1986-03-20,Calebe Pires Mendes,507298,2022-04-03,sabrina_das@mail.com,3
928,Alexandre Mendes,79858795478,1992-10-28,Maria Vitória Monteiro Ribeiro,150649,2019-05-02,alexandre_mendes@mail.com,6
929,Thales Gonçalves,58817422924,1997-04-06,Gabriela Oliveira Castro,459735,2020-07-12,thales_gonçalves@mail.com,1
930,Gabriela Silveira,54679034776,1983-12-27,Vitor Hugo Lopes Vieira,535836,2020-04-08,gabriela_silveira@mail.com,6
931,Vinicius Cavalcanti,35405943983,2002-10-11,Luiz Fernando Castro da Paz,367220,2019-01-21,vinicius_cavalcanti@mail.com,4
932,Bryan da Cunha,50351501280,1988-09-20,André Azevedo da Rocha,502869,2022-04-23,bryan_da@mail.com,3
933,Catarina Cunha,45530698871,1992-08-15,Igor da Cunha Aragão,206457,2022-02-11,catarina_cunha@mail.com,6
934,Melissa Oliveira,92266882287,1998-11-16,Alice Gonçalves Nunes,24270,2020-10-26,melissa_oliveira@mail.com,5
935,Enrico Fernandes,40377645145,1994-01-17,João Gabriel Aragão Peixoto,140298,2021-08-22,enrico_fernandes@mail.com,1
936,Larissa da Paz,72700423578,1984-04-19,Maitê Pereira Rodrigues,741539,2021-03-18,larissa_da@mail.com,4
937,João Miguel Costa,56297809888,1999-09-17,João Felipe Santos Duarte,982081,2019-08-26,joão_miguel@mail.com,1
938,Yuri da Rosa,54019899596,2003-01-17,Amanda Cardoso Lima,750493,2020-05-22,yuri_da@mail.com,4
939,Ana da Mota,2547242254,1994-01-24,Maysa Cardoso Araújo,220207,2018-12-02,ana_da@mail.com,1
940,Melissa Mendes,69423962888,1990-11-02,João Guilherme Santos da Luz,693291,2019-08-15,melissa_mendes@mail.com,3
941,Enrico Peixoto,28020733682,1994-05-06,Juliana Nunes da Paz,780872,2019-12-27,enrico_peixoto@mail.com,1
942,Bryan Costa,17779228470,1994-05-18,Milena Silva Almeida,620572,2020-06-10,bryan_costa@mail.com,2
943,Sophia Porto,45798981853,1993-06-22,João Gabriel Pinto Lima,867283,2022-09-30,sophia_porto@mail.com,2
944,Ana Santos,39042964908,1987-08-13,Rebeca da Costa Barros,305073,2021-08-23,ana_santos@mail.com,1
945,Gabriel Sales,61616040840,1999-08-31,Lucas Gabriel Cardoso Monteiro,584675,2023-11-03,gabriel_sales@mail.com,5
946,André Souza,23175617189,1996-04-29,Enrico da Cruz da Cunha,305410,2021-12-15,andré_souza@mail.com,6
947,Nina Barros,1978209240,1996-08-02,Pietra Pinto Lopes,503389,2019-05-02,nina_barros@mail.com,1
948,Gabrielly Pinto,20008571589,1998-05-18,Luna Souza Cardoso,731171,2018-12-10,gabrielly_pinto@mail.com,4
949,Isis Rocha,39393733980,1996-11-20,Mariana Pires Rezende,463360,2020-05-03,isis_rocha@mail.com,5
950,Daniela da Luz,9910751962,1986-10-24,João Felipe da Mata Monteiro,83367,2022-07-15,daniela_da@mail.com,5
951,Maria Vitória da Luz,30857594812,2004-03-14,Bianca Souza da Paz,281710,2019-05-14,maria_vitória@mail.com,1
952,Nicole Costela,29453864369,1997-04-30,Ana Carolina Dias Peixoto,413101,2019-07-21,nicole_costela@mail.com,6
953,Emanuel Nogueira,10464897771,1990-02-04,Emanuelly Cavalcanti Costela,493658,2021-08-16,emanuel_nogueira@mail.com,3
954,Marcela Martins,33174904607,1986-10-02,Leonardo Aragão Martins,245066,2019-10-22,marcela_martins@mail.com,1
955,Clarice Nogueira,90856330622,1991-05-06,Maria Sophia das Neves da Costa,215907,2021-09-14,clarice_nogueira@mail.com,2
956,Ana Beatriz Farias,50575853488,1989-07-25,Pietro Cunha Pereira,676213,2020-09-16,ana_beatriz@mail.com,3
957,Marcos Vinicius Novaes,64445747107,1991-10-18,Caio Barbosa Campos,617701,2020-07-29,marcos_vinicius@mail.com,3
958,Rodrigo Gonçalves,47928956556,2003-08-19,Luana Carvalho Viana,761431,2021-12-20,rodrigo_gonçalves@mail.com,6
959,Ana Sophia Cunha,64853634558,1989-12-01,Luiza Cavalcanti da Mata,759569,2021-02-08,ana_sophia@mail.com,4
960,Guilherme Oliveira,92555811091,2004-11-19,Luigi Aragão Rocha,50884,2022-09-17,guilherme_oliveira@mail.com,4
961,Kamilly Silva,96181700736,1996-06-24,Kevin Souza Souza,653020,2021-10-03,kamilly_silva@mail.com,6
962,Noah Vieira,92222851817,1984-02-09,Helena Caldeira Cardoso,161385,2019-03-08,noah_vieira@mail.com,1
963,Pedro Lucas Vieira,96479929062,1987-09-02,Lorena da Conceição da Cunha,128044,2022-08-24,pedro_lucas@mail.com,6
964,Lorena da Rosa,16823171034,2003-10-03,Davi Cunha Ferreira,254574,2021-04-28,lorena_da@mail.com,5
965,João da Rocha,18844486466,2000-03-20,Letícia da Paz Peixoto,783978,2019-04-04,joão_da@mail.com,3
966,Laís Gonçalves,21196790603,1996-11-09,Samuel Costela Castro,463947,2023-02-07,laís_gonçalves@mail.com,5
967,Maria Luiza Monteiro,59582723217,1986-07-26,Cauã Cardoso Azevedo,41613,2019-09-28,maria_luiza@mail.com,2
968,Maria Eduarda Costela,54103440481,1985-02-16,Ana Luiza Fogaça Melo,118009,2022-09-22,maria_eduarda@mail.com,6
969,Marina da Luz,10883941819,1990-05-20,João Gabriel Barros Monteiro,547393,2020-06-29,marina_da@mail.com,4
970,Clara Viana,65914292667,1988-05-08,Mariane Barros Azevedo,222692,2020-01-18,clara_viana@mail.com,4
971,Maria Vitória Martins,81476498831,1987-04-03,Joana Cardoso Campos,866512,2022-10-26,maria_vitória@mail.com,3
972,Marina Correia,30180289684,1997-02-10,Lara Rezende Correia,163906,2023-09-18,marina_correia@mail.com,1
973,Sabrina Moraes,85407950669,1995-05-01,Pedro Santos Araújo,509414,2019-05-03,sabrina_moraes@mail.com,6
974,Helena Rocha,48254634399,2000-11-11,Daniela Moura Costa,274986,2021-12-02,helena_rocha@mail.com,2
975,Isis Peixoto,44505655614,1983-12-06,Davi Luiz Campos Martins,11672,2022-01-12,isis_peixoto@mail.com,5
976,Maria Eduarda Teixeira,81611214236,2002-09-12,Augusto Jesus Cavalcanti,953916,2019-02-22,maria_eduarda@mail.com,6
977,Murilo Pereira,86231216448,1999-05-29,Isaac da Cruz Mendes,976260,2020-11-07,murilo_pereira@mail.com,2
978,Antônio Silveira,18168027235,1988-11-16,Cauã Cardoso Correia,841295,2019-06-05,antônio_silveira@mail.com,5
979,Enrico Araújo,27917071358,1996-08-25,Isaac Santos Ramos,203041,2019-05-08,enrico_araújo@mail.com,4
980,Vitor Hugo da Conceição,25959847142,1999-12-20,Stella Melo Caldeira,122503,2019-01-06,vitor_hugo@mail.com,3
981,Calebe Caldeira,57131388338,1984-12-04,Eloah da Mata Novaes,458209,2022-02-23,calebe_caldeira@mail.com,6
982,João Fogaça,43348462204,1995-01-25,Bianca Barbosa da Mota,618989,2021-04-14,joão_fogaça@mail.com,6
983,Raquel da Cruz,87548899110,1986-05-07,Heloísa Caldeira Rodrigues,303048,2020-09-07,raquel_da@mail.com,2
984,Murilo Fernandes,56607134856,1987-09-01,Luiz Felipe Alves Pires,669707,2021-08-13,murilo_fernandes@mail.com,2
985,Gustavo Caldeira,39302161559,2004-11-13,Laura Castro Gomes,905353,2018-12-29,gustavo_caldeira@mail.com,1
986,Maria Sophia Gonçalves,52875737846,1991-05-29,Kamilly Duarte Sales,772860,2020-09-25,maria_sophia@mail.com,2
987,Juan Viana,6359352171,2001-08-10,Enrico Carvalho Azevedo,501047,2023-10-20,juan_viana@mail.com,4
988,Bernardo Moraes,59936341946,2001-12-24,Marcos Vinicius Moura Correia,837096,2019-11-15,bernardo_moraes@mail.com,6
989,Ana Sophia Cavalcanti,22245860231,1991-01-20,Otávio Costa Fernandes,281135,2018-11-24,ana_sophia@mail.com,3
990,Laura das Neves,91904638515,1985-11-16,Vitor Hugo Teixeira Santos,253509,2021-05-05,laura_das@mail.com,6
991,Pietra Nogueira,60586657894,2004-04-12,Yasmin Costa Sales,272963,2021-12-02,pietra_nogueira@mail.com,1
992,Lucas Silva,12052661515,1984-05-27,Pedro Miguel Oliveira Campos,90079,2020-02-06,lucas_silva@mail.com,5
993,Stephany Gomes,91681603984,1992-12-23,Bruno Monteiro Dias,564326,2019-04-05,stephany_gomes@mail.com,6
994,Maria Vitória Barros,16031698430,1995-05-25,Yasmin Gonçalves Viana,556539,2020-09-20,maria_vitória@mail.com,6
995,Vitor Hugo Nogueira,3465676206,2005-02-04,Mirella Duarte Mendes,115710,2022-07-23,vitor_hugo@mail.com,5
996,Amanda Lopes,43640663543,2001-02-22,Juliana Campos da Cruz,798376,2019-05-06,amanda_lopes@mail.com,4
997,Gabrielly Barros,77862343309,1986-10-01,Bianca Melo Dias,789406,2023-03-08,gabrielly_barros@mail.com,6
998,Antônio Fernandes,53717028968,1997-03-14,Amanda da Mata Jesus,377931,2021-04-04,antônio_fernandes@mail.com,2
999,João Pires,63077172405,1999-10-08,Bruna Caldeira Moraes,910607,2019-06-30,joão_pires@mail.com,1
1000,Levi Moura,64474282361,1990-02-14,João Guilherme Dias da Mota,663313,2019-08-15,levi_moura@mail.com,5
1001,Rebeca Viana,54418072833,2004-03-21,Nicole Lima Ribeiro,468434,2023-06-05,rebeca_viana@mail.com,2
1002,Olivia da Paz,38888829883,1986-07-30,Renan Alves Campos,683322,2021-07-17,olivia_da@mail.com,4
1003,Sophie da Mota,36185018723,2004-03-18,Camila Vieira da Mota,449636,2019-08-24,sophie_da@mail.com,4
1004,Nicolas Porto,89086490864,1992-01-16,Theo Peixoto da Mota,873435,2020-11-24,nicolas_porto@mail.com,4
1005,João Gabriel Cardoso,82102416244,1984-02-08,Lívia Nascimento Fogaça,708159,2021-10-03,joão_gabriel@mail.com,4
1006,João Lucas da Luz,64030278137,1992-12-29,Bernardo Moura Souza,800316,2020-06-05,joão_lucas@mail.com,1
1007,Nina Silva,49400978345,1988-03-01,Rafael Santos Vieira,941995,2023-06-27,nina_silva@mail.com,5
1008,Erick Nascimento,67778894050,1984-11-24,Danilo Castro Viana,889523,2022-01-28,erick_nascimento@mail.com,6
1009,Bruno Pereira,46007790504,1986-10-01,Vinicius Monteiro Porto,389208,2021-11-10,bruno_pereira@mail.com,4
1010,Matheus Ferreira,76640119735,2002-11-15,Bruna Cardoso Ribeiro,87061,2020-11-17,matheus_ferreira@mail.com,4
1011,Francisco da Cruz,51418361692,1996-03-19,Augusto Pires Porto,391952,2022-02-27,francisco_da@mail.com,4
1012,Isis Fernandes,74835789875,2003-09-13,Thiago Ribeiro Pereira,946797,2023-09-12,isis_fernandes@mail.com,4
1013,André Melo,54802111028,1985-11-11,Ana Julia Costela Rezende,63793,2021-09-28,andré_melo@mail.com,1
1014,Bianca da Costa,93932284650,1995-09-04,Danilo Caldeira Nogueira,149156,2020-02-28,bianca_da@mail.com,1
1015,Bruno da Costa,17523505715,1989-03-21,Emanuel Azevedo Gomes,101461,2019-05-14,bruno_da@mail.com,2
1016,Pedro Barros,42979551883,2000-01-15,João Felipe Azevedo Farias,536474,2021-12-29,pedro_barros@mail.com,3
1017,Sophie Jesus,80348378640,1991-07-04,Augusto Ribeiro da Rocha,420740,2022-03-31,sophie_jesus@mail.com,6
1018,Caroline Vieira,26877203339,1987-07-21,Mariane Monteiro Dias,991519,2019-07-24,caroline_vieira@mail.com,4
1019,Theo Cardoso,63875634938,1986-06-07,Helena Nogueira Souza,273399,2019-04-04,theo_cardoso@mail.com,2
1020,Stephany Lopes,6162797241,2002-06-25,Gustavo Henrique Santos Campos,969150,2019-05-08,stephany_lopes@mail.com,3
1021,Emanuella das Neves,40650848296,1998-09-10,Pedro Rezende Teixeira,357246,2022-05-28,emanuella_das@mail.com,2
1022,João Lucas Silveira,13056032495,1997-03-01,Augusto Alves Rezende,637721,2023-02-25,joão_lucas@mail.com,1
1023,Daniel Santos,68152097468,1995-09-20,Maitê Nogueira Correia,587383,2023-10-01,daniel_santos@mail.com,2
1024,Ian Peixoto,49221402025,1997-10-05,Ana Clara Almeida Caldeira,145583,2023-10-13,ian_peixoto@mail.com,2
1025,Fernanda Teixeira,92768408323,2000-06-27,Eloah Lopes Farias,90139,2019-01-15,fernanda_teixeira@mail.com,2
1026,Alexia Carvalho,35945854411,1990-02-02,Luiz Henrique Rezende Martins,603071,2019-02-06,alexia_carvalho@mail.com,6
1027,Samuel das Neves,44778051439,1990-02-03,Pedro Lucas Caldeira Pires,317555,2022-04-13,samuel_das@mail.com,6
1028,Kevin Melo,41553792624,1993-02-11,Noah Souza Castro,122697,2023-10-10,kevin_melo@mail.com,2
1029,Rafael Moreira,73115506111,1987-06-06,Luiz Henrique Jesus Lima,382672,2022-07-20,rafael_moreira@mail.com,3
1030,Nicolas da Rosa,22622604292,1989-02-06,Lucas Ferreira Freitas,88545,2023-07-15,nicolas_da@mail.com,5
1031,Raquel Souza,48504095105,2001-02-22,Alícia da Cunha Nunes,498395,2019-06-08,raquel_souza@mail.com,5
1032,Bruna Alves,1791260069,1997-01-10,Alana da Luz Peixoto,428036,2019-07-15,bruna_alves@mail.com,5
1033,Enzo Monteiro,44868536154,1995-03-08,Sophia da Rosa Monteiro,796233,2023-09-09,enzo_monteiro@mail.com,1
1034,Ana Lívia Duarte,87177886174,1984-07-30,Diogo Silveira Cavalcanti,258045,2022-03-20,ana_lívia@mail.com,1
1035,Luna Farias,81757344223,1992-03-22,Maysa Dias Teixeira,536492,2022-08-28,luna_farias@mail.com,2
1036,Bruno Martins,47724316308,2001-05-04,Lucas Gabriel da Mota Freitas,428353,2022-12-26,bruno_martins@mail.com,6
1037,Vitor Hugo Correia,7438472406,1994-05-25,Mariana Jesus Cardoso,92678,2021-02-03,vitor_hugo@mail.com,4
1038,Vitor Fernandes,31766499696,1988-01-08,Pedro Miguel Mendes da Mata,578628,2019-04-30,vitor_fernandes@mail.com,4
1039,Evelyn Gomes,9342557376,1985-08-18,Isabella da Cruz Rezende,685937,2020-12-02,evelyn_gomes@mail.com,5
1040,Benjamin Silveira,15182645844,1987-01-14,Beatriz Ribeiro Ramos,639861,2022-12-21,benjamin_silveira@mail.com,2
1041,Sophia Moura,99325648317,2003-01-24,Davi da Mota Moura,28422,2023-03-13,sophia_moura@mail.com,4
1042,Eduarda Silva,86520588530,1995-10-25,Emilly Oliveira Costa,575309,2021-03-12,eduarda_silva@mail.com,4
1043,Ana Lívia Rodrigues,57953927724,2003-07-17,Yuri Aragão Caldeira,367066,2020-02-01,ana_lívia@mail.com,3
1044,Bryan Gonçalves,38193927327,2004-05-03,Davi Lucca da Rocha Cavalcanti,315733,2020-10-04,bryan_gonçalves@mail.com,5
1045,Maitê da Mota,96456508136,2005-02-25,Enzo Farias Sales,964485,2020-08-15,maitê_da@mail.com,6
1046,Pedro Silva,32715801556,1990-02-16,Clara Pires Campos,8197,2023-10-17,pedro_silva@mail.com,1
1047,Davi Luiz Castro,72243435727,1989-03-15,Evelyn Ribeiro Rezende,661370,2021-04-30,davi_luiz@mail.com,1
1048,Isaac Teixeira,62573671804,1989-12-10,Maria Cecília Souza da Cunha,834166,2021-06-23,isaac_teixeira@mail.com,4
1049,Emilly Almeida,8764486290,1992-10-10,Isabella Duarte Caldeira,233834,2023-11-17,emilly_almeida@mail.com,4
1050,Letícia Campos,48647327091,2003-09-09,Isabelly Caldeira Porto,929416,2022-02-12,letícia_campos@mail.com,5
1051,Kaique da Rosa,17344312230,1989-11-01,Brenda da Conceição Lopes,64580,2020-10-01,kaique_da@mail.com,1
1052,Maria Luiza Pereira,89008087061,1993-01-02,Gabrielly Jesus Barros,204176,2019-02-06,maria_luiza@mail.com,3
1053,Emanuel da Rocha,51973926334,1992-06-10,Vitória Barros Almeida,150445,2018-12-10,emanuel_da@mail.com,2
1054,Esther Pinto,11705499886,1992-09-28,Amanda da Mata Melo,376105,2022-04-15,esther_pinto@mail.com,6
